CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
23292	COMP	1126	Introduction to Computing I	201520	Mona	B01	Lab	100	TUTOR	TUTOR	17-Jan-16	26-Feb-16	Mon	4:00 PM	5:59 PM	PAS Computer Science Lab 2		
25929	COMP	1126	Introduction to Computing I LAB COMP1126	201520	Mona	B02	Lab	100	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Thur	11:00 AM	12:59 PM	Computer Lab		
23293	COMP	1126	Introduction to Computing I	201520	Mona	M11	Lecture	200	10019397	Curtis C. Busby-Earle	17-Jan-16	26-Feb-16	Tues	4:00 PM	4:59 PM	Computing Lecture Room		
23293	COMP	1126	Introduction to Computing I	201520	Mona	M11	Lecture	200	10019397	Curtis C. Busby-Earle	18-Jan-16	26-Feb-16	Wed	2:00 PM	3:59 PM	Computing Lecture Room		
23295	COMP	1126	Introduction to Computing I Secondary Tutorial COMP1126	201520	Mona	T01	Secondary Tutorial	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Tues	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		
23296	COMP	1126	Introduction to Computing I	201520	Mona	T02	Secondary Tutorial	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
23483	COMP	1126	Introduction to Computing I Secondary Tutorial COMP1126	201520	Mona	T03	Secondary Tutorial	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
23484	COMP	1126	Introduction to Computing I Tutorial COMP1126	201520	Mona	T04	Tutorial/Discussions	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Thur	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		
23485	COMP	1126	Introduction to Computing I Tutorial COMP1126	201520	Mona	T05	Tutorial/Discussions	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Fri	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		
23486	COMP	1126	Introduction to Computing I Tutorial COMP1126	201520	Mona	T06	Tutorial/Discussions	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		
24696	COMP	1126	Introduction to Computing I	201520	Mona	T07	Secondary Tutorial	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Wed	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		
24697	COMP	1126	Introduction to Computing I	201520	Mona	T08	Tutorial/Discussions	40	TUTOR	TUTOR	18-Jan-16	26-Feb-16	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		
