CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)	
23605	COMP	1126	Introduction to Computing I	201420	Mona	B01	Lab	100	TUTOR	TUTOR	18-Jan-15	27-Feb-15	Mon	4:00 PM	5:59 PM	Computer Lab Lab 1		AMEND	
23606	COMP	1126	Introduction to Computing I	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	18-Jan-15	27-Feb-15	Tues	4:00 PM	4:59 PM	Computing Lecture Room		AMEND	
23606	COMP	1126	Introduction to Computing I	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	19-Jan-15	27-Feb-15	Wed	2:00 PM	3:59 PM	Computing Lecture Room		AMEND	
23608	COMP	1126	Introduction to Computing I Secondary Tutorial COMP1126	201420	Mona	T01	Secondary Tutorial	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Tues	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		OK	
23609	COMP	1126	Introduction to Computing I	201420	Mona	T02	Secondary Tutorial	25		Dean Jones	19-Jan-15	27-Feb-15	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23804	COMP	1126	Introduction to Computing I Secondary Tutorial COMP1126	201420	Mona	T03	Secondary Tutorial	25		Dean Jones	19-Jan-15	27-Feb-15	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23805	COMP	1126	Introduction to Computing I Tutorial COMP1126	201420	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Thur	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		AMEND	
23806	COMP	1126	Introduction to Computing I Tutorial COMP1126	201420	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Fri	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		AMEND	
23807	COMP	1126	Introduction to Computing I Tutorial COMP1126	201420	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		OK	
25160	COMP	1126	Introduction to Computing I	201420	Mona	T07	Secondary Tutorial	25	TUTOR	TUTOR	19-Jan-15	27-Feb-15	Wed	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		AMEND	
25161	COMP	1126	Introduction to Computing I	201420	Mona	T08	Tutorial/Discussions	25	10034383	Claudine Allen	19-Jan-15	27-Feb-15	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		AMEND	
23610	COMP	1127	Introduction to Computing II Lab COMP1127	201420	Mona	B01	Lab	100	TUTOR	TUTOR	9-Mar-15	17-Apr-15	Mon	4:00 PM	5:59 PM	Computer Lab Lab 1		AMEND	
23611	COMP	1127	Introduction to Computing II	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	9-Mar-15	17-Apr-15	Tues	4:00 PM	4:59 PM	Computing Lecture Room		AMEND	
23611	COMP	1127	Introduction to Computing II	201420	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	19-Jan-15	17-Apr-15	Wed	2:00 PM	3:59 PM	Computing Lecture Room		AMEND	
23612	COMP	1127	Introduction to Computing II Secondary Tutorial COMP 1127	201420	Mona	T01	Secondary Tutorial	25	TUTOR	TUTOR	9-Mar-15	10-Apr-15	Tues	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		OK	
23613	COMP	1127	Introduction to Computing II Secondary Tutorial COMP1127	201420	Mona	T02	Secondary Tutorial	25		Dean Jones	9-Mar-15	10-Apr-15	Wed	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23808	COMP	1127	Introduction to Computing II Secondary Tutorial COMP1127	201420	Mona	T03	Secondary Tutorial	25		Dean Jones	9-Mar-15	10-Apr-15	Thur	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
23809	COMP	1127	Introduction to Computing II Tutorial COMP1127	201420	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	9-Mar-15	16-Apr-15	Thur	6:00 PM	6:59 PM	Computer Science Tutorial Room 2		AMEND	
23810	COMP	1127	Introduction to Computing II Tutorial COMP1127	201420	Mona	T05	Tutorial/Discussions	25	TUTOR	TUTOR	9-Mar-15	16-Apr-15	Fri	2:00 PM	2:59 PM	POST GRAD COMPUTER ROOM		AMEND	
23811	COMP	1127	Introduction to Computing II Tutorial COMP1127	201420	Mona	T06	Tutorial/Discussions	25	TUTOR	TUTOR	9-Mar-15	16-Apr-15	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 1		OK	
25163	COMP	1127	Introduction to Computing II	201420	Mona	T07	Secondary Tutorial	25	TUTOR	TUTOR	9-Mar-15	10-Apr-15	Wed	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		AMEND	
25164	COMP	1127	Introduction to Computing II	201420	Mona	T08	Tutorial/Discussions	25	10034383	Claudine Allen	9-Mar-15	16-Apr-15	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		AMEND	
23812	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B01	Lab	65	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Tues	5:00 PM	6:59 PM	Computer Lab Lab 1		AMEND	
23813	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B02	Lab	65	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Wed	5:00 PM	6:59 PM	Computer Lab Lab 1		AMEND	
23614	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B03	Lab	65	10031769	Careene Rodney	18-Jan-15	6-May-15	Thur	8:00 AM	9:59 AM	Computer Lab Lab 1		OK	
23615	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201420	Mona	B04	Lab	65	10031769	Careene Rodney	18-Jan-15	6-May-15	Fri	8:00 AM	9:59 AM	Computer Lab Lab 1		OK	
23749	COMP	1161	Introduction to Object-Oriented Programming	201420	Mona	M11	Lecture	260	10017952	Eyton A. Ferguson	19-Jan-15	10-Apr-15	Mon	1:00 PM	2:59 PM	PAS: PreClinical Lecture Theatre		OK	
